id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,city,neighbourhood_group,price_category,availability_category,review_activity,host_listing_count_x,host_type,host_listing_count_y,host_listing_count
1218802548916918801,Music Lover's Retreat: 3BR | Pool | Karaoke,483999431,Regal Retreats,Unknown,29.91733985140694,-90.00750582665205,Entire home/apt,354.65,30.0,8,2025-07-29,0.39,179,New Orleans,Other,Luxury ($250+),Medium (91-180 days),Occasional,1,Casual (1 listing),1,1
1220360149752250911,Charming New Orleans Stay!,564194374,Busy Bee,Unknown,29.96944419645435,-90.04442883793065,Entire home/apt,185.0,1.0,58,2026-05-25,2.66,335,New Orleans,Other,Premium ($150-250),Always Available (271-365),Regular,3,Growing (2-3 listings),3,3
1221192787889381457,"New Suite Oak St Retreat! Shops, Music & More!",4983998,September,Unknown,29.95044,-90.13455,Entire home/apt,178.33,3.0,42,2026-05-31,2.14,128,New Orleans,Other,Premium ($150-250),Medium (91-180 days),Regular,2,Growing (2-3 listings),2,2
1221700678245388750,Chic New Orleans Abode: 1 Mi to Lake Pontchartrain,456477857,Evolve,Unknown,30.012578807605863,-90.11550581140423,Entire home/apt,112.81,31.0,1,2024-10-21,0.05,259,New Orleans,Other,Mid-Range ($100-150),High (181-270 days),Occasional,38,Professional (4+ listings),38,38
1222462432062069287,Quiet New Orleans home,15157,Sharon,Unknown,29.97749,-90.11464,Entire home/apt,314.0,1.0,23,2026-04-19,1.09,300,New Orleans,Other,Luxury ($250+),Always Available (271-365),Regular,1,Casual (1 listing),1,1
1222463154517851461,The King on Magazine,20627474,Kurt,Unknown,29.936975427055764,-90.07299249510028,Entire home/apt,1109.13,30.0,0,Unknown,0.0,364,New Orleans,Other,Luxury ($250+),Always Available (271-365),No Reviews,7,Professional (4+ listings),7,7
1222547040606917034,Stylish 2BR Modern Condo Getaway,95683904,Brad,Unknown,29.94057,-90.09397,Entire home/apt,161.5,2.0,35,2026-05-17,1.61,170,New Orleans,Other,Premium ($150-250),Medium (91-180 days),Regular,33,Professional (4+ listings),33,33
1222605893718621390,The Chartres Main House & POOL by Dear Valentine,6467652,Dear Valentine,Unknown,29.9635856328748,-90.04809818432314,Entire home/apt,415.0,2.0,42,2026-06-01,2.39,323,New Orleans,Other,Luxury ($250+),Always Available (271-365),Regular,14,Professional (4+ listings),14,14
1222615994944459807,Chartres Carriage House & POOL by Dear Valentine,6467652,Dear Valentine,Unknown,29.961771308384424,-90.04760384101051,Entire home/apt,318.0,1.0,62,2026-06-02,3.18,188,New Orleans,Other,Luxury ($250+),High (181-270 days),Highly Active,14,Professional (4+ listings),14,14
1222795446189032633,Luxury House in New Orleans Bed and Breakfast,596060223,Le Maison D Olivier,Unknown,29.95416804492489,-90.0485783130434,Private room,769.16,2.0,16,2026-05-24,0.98,84,New Orleans,Other,Luxury ($250+),Low (0-90 days),Occasional,1,Casual (1 listing),1,1
1223412986842804799,Bayou St John Comfort Living #2,193970280,Janet,Unknown,29.97688,-90.08415,Entire home/apt,101.72,30.0,0,Unknown,0.0,255,New Orleans,Other,Mid-Range ($100-150),High (181-270 days),No Reviews,2,Growing (2-3 listings),2,2
1224003755929316353,Corner Penthouse-Private Terrace – Hotel,545764469,New Orleans Luxury Collection,Unknown,29.94488320211952,-90.07325377543933,Private room,445.5,2.0,55,2026-06-03,2.61,310,New Orleans,Other,Luxury ($250+),Always Available (271-365),Regular,60,Professional (4+ listings),60,60
1224003776264791099,Downtown Corner Penthouse w/ Private Terrace Hotel,545764469,New Orleans Luxury Collection,Unknown,29.94422915901285,-90.07551336068022,Private room,288.5,2.0,14,2026-05-31,1.12,330,New Orleans,Other,Luxury ($250+),Always Available (271-365),Regular,60,Professional (4+ listings),60,60
1226065309487879442,Irish Channel Shotgun,4558401,Lee,Unknown,29.92129,-90.08363,Entire home/apt,71.32,31.0,1,2025-04-12,0.07,364,New Orleans,Other,Economy ($50-100),Always Available (271-365),Occasional,1,Casual (1 listing),1,1
1226410594893950615,Guest Room Nola,46308663,Charla,Unknown,29.938623825456048,-90.08639909037052,Private room,167.77,30.0,17,2025-06-15,0.81,89,New Orleans,Other,Premium ($150-250),Low (0-90 days),Occasional,2,Growing (2-3 listings),2,2
1226896074830905924,Downtown 3BR Penthouse with Private Terrace Hotel,545764469,New Orleans Luxury Collection,Unknown,29.94448,-90.07342,Private room,445.5,2.0,23,2026-06-06,1.13,325,New Orleans,Other,Luxury ($250+),Always Available (271-365),Regular,60,Professional (4+ listings),60,60
1226896096143759189,Luxury | Walk-French Qtr | Rooftop Pool Hotel,545764469,New Orleans Luxury Collection,Unknown,29.944386386885792,-90.07489760643928,Private room,328.5,2.0,9,2026-03-29,0.46,347,New Orleans,Other,Luxury ($250+),Always Available (271-365),Occasional,60,Professional (4+ listings),60,60
1227511432924657133,Charming Loft with Exposed Brick,562788766,New Orleans Vacation Rentals,Unknown,29.9485608,-90.0734223,Entire home/apt,1000.0,1.0,12,2026-05-17,0.6,329,New Orleans,Other,Luxury ($250+),Always Available (271-365),Occasional,16,Professional (4+ listings),16,16
1228222431481064155,Charming New Marigny Apartment,27284037,Joshua,Unknown,29.9735603,-90.05054439999999,Entire home/apt,97.0,2.0,85,2026-06-07,3.88,36,New Orleans,Other,Economy ($50-100),Low (0-90 days),Highly Active,1,Casual (1 listing),1,1
1228946003076248025,Private Studio in Historic Home,3329478,Emily,Unknown,29.9425987,-90.1085832,Private room,75.32,1.0,150,2026-06-09,8.24,72,New Orleans,Other,Economy ($50-100),Low (0-90 days),Highly Active,1,Casual (1 listing),1,1
1228997324919980528,Chic Centrally Located 2BR,95683904,Brad,Unknown,29.93951,-90.09341,Entire home/apt,164.5,2.0,50,2026-05-05,2.34,135,New Orleans,Other,Premium ($150-250),Medium (91-180 days),Regular,33,Professional (4+ listings),33,33
1229006848701517558,"Condo on St. Charles | Streetcars, Parking, Pool!",349162641,David,Unknown,29.94733,-90.07314,Entire home/apt,232.5,2.0,98,2026-06-06,4.5,322,New Orleans,Other,Premium ($150-250),Always Available (271-365),Highly Active,68,Professional (4+ listings),68,68
1230178046792428250,2 Bedrm Slps 8 w/Gym/Pool 2 Blks 2 Quarter/Bourbon,570897863,Natalie,Unknown,29.9538877,-90.0724138,Entire home/apt,291.0,1.0,41,2026-06-01,2.24,192,New Orleans,Other,Luxury ($250+),High (181-270 days),Regular,15,Professional (4+ listings),15,15
